Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group,Office Region
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Operational Delivery Directorate & EU Exit,AP01,G6,57114,71019,Senior Manager,1,Operational Delivery Profession,South East
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AA,18533,21330,Administrative Assistant,6.55,Government Science and Engineering Profession,South East
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AO,21048,24369,Executive Assistant,6.62,Government Science and Engineering Profession,East Midlands
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AO,21048,24369,Executive Assistant,4.97,Government Science and Engineering Profession,East of England
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AO,21048,24369,Executive Assistant,9.6,Government Science and Engineering Profession,North East
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AO,21048,24369,Executive Assistant,9.3,Government Science and Engineering Profession,North West
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AO,21048,24369,Executive Assistant,1.97,Government Science and Engineering Profession,Scotland
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AO,21048,24369,Executive Assistant,155.48,Government Science and Engineering Profession,South East
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AO,21048,24369,Executive Assistant,15.4,Government Science and Engineering Profession,South West
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AO,21048,24369,Executive Assistant,13.81,Government Science and Engineering Profession,Wales
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AO,21048,24369,Executive Assistant,7.03,Government Science and Engineering Profession,West Midlands
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,AO,21048,24369,Executive Assistant,13.42,Government Science and Engineering Profession,Yorkshire and The Humber
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,EO,24918,29806,Executive Officer,3,Government Science and Engineering Profession,East Midlands
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,EO,24918,29806,Executive Officer,1,Government Science and Engineering Profession,East of England
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,EO,24918,29806,Executive Officer,4.17,Government Science and Engineering Profession,North East
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,EO,24918,29806,Executive Officer,6.65,Government Science and Engineering Profession,North West
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,EO,24918,29806,Executive Officer,2,Government Science and Engineering Profession,Scotland
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,EO,24918,29806,Executive Officer,131.82,Government Science and Engineering Profession,South East
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,EO,24918,29806,Executive Officer,23.62,Government Science and Engineering Profession,South West
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,EO,24918,29806,Executive Officer,4,Government Science and Engineering Profession,Wales
Department for Environment Food & Rural Affairs,Animal Plant Health Agency,Science Directorate,AP02,EO,24918,29806,Executive Officer,1.63,Government Science and Engineering Profession,West Midlands
